"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"UB2559_104"	"P. Oromí"	"29992"	"Cueva de Felipe Reventón"	"Icod de los Vinos"	"Tenerife"	"Canary Islands"	28.3501799	-16.704638	"Dysdera"	"Western Canarian"	"volcania"
"UB2714_111"	""	""	"Cueva de Felipe Reventón"	"Icod de Los Vinos"	"Tenerife"	"Canary Islands"	28.35018	-16.704638	"Dysdera"	"Western Canarian"	"volcania"
"NMH000804"	"N. Macías"	"5/24/2006"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000838"	"N. Macías & H. López"	"12/15/2006"	"El Aderno. Altos de Buenavista"	"Buenavista del Norte"	"Tenerife"	"Canary Islands"	28.358258	-16.864456	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000839"	"N. Macías & H. López"	"12/15/2006"	"El Aderno. Altos de Buenavista"	"Buenavista del Norte"	"Tenerife"	"Canary Islands"	28.358258	-16.864456	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000841"	"N. Macías & H. López"	"12/15/2006"	"El Aderno. Altos de Buenavista"	"Buenavista del Norte"	"Tenerife"	"Canary Islands"	28.358258	-16.864456	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000842"	"N. Macías & H. López"	"12/15/2006"	"El Aderno. Altos de Buenavista"	"Buenavista del Norte"	"Tenerife"	"Canary Islands"	28.358258	-16.864456	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001042"	"H. López"	"7/14/2003"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001110"	"N. Macías & M. Rezac"	"3/1/2006"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001112"	"N. Macías & M. Rezac"	"3/1/2006"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
