"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"NMH002703"	"N. Macías & C. Díaz"	"5/7/2013"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002750"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002751"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002752"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002753"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002754"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002755"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002756"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002757"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002758"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002759"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002760"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002761"	"N. Macías & S. Febles"	"11/15/2014"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002787"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002788"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002789"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002790"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002791"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002792"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002793"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002794"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002795"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002796"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002797"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002798"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002799"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002800"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002801"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002802"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002803"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002804"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002805"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002806"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002807"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002808"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002809"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002810"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002811"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002812"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002813"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002814"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002815"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002816"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002817"	"N. Macías & S. Febles"	"11/25/2014"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002932"	"Planas, E. & Espluga, R."	"2/18/2011"	"La Escalona"	"Adeje"	"Tenerife"	"Canary Islands"	28.11665	-16.67335	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002935"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002936"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002937"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002938"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002957"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002958"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002959"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002960"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002961"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002962"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002963"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002964"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002965"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002966"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002967"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002968"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002969"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002970"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002971"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002972"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002973"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002974"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002975"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002976"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002977"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002978"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002979"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002980"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002981"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002982"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002983"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002984"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002985"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002986"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002987"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH002995"	"N. Macías & S. Febles"	"2/10/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003027"	"N. Macías"	"1/15/2005"	"Llano de los Viejos"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.526709	-16.285	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003028"	"N. Macías"	"1/15/2005"	"Llano de los Viejos"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.526709	-16.285	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003029"	"N. Macías"	"1/15/2005"	"Llano de los Viejos"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.526709	-16.285	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003030"	"S. Fernández"	"8/22/2004"	"Llano de los Viejos"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.526709	-16.285	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003031"	"N. Macías & A. Hernández"	"10/25/2009"	"Orticosa. Choza de la Loca"	"Arafo"	"Tenerife"	"Canary Islands"	28.384498	-16.44741	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003032"	"N. Macías"	"10/16/2009"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003035"	"GIET"	"4/14/1999"	"Las Lagunetas"	"El Rosario"	"Tenerife"	"Canary Islands"	28.418535	-16.41009	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003037"	"GIET"	"4/14/1999"	"Las Lagunetas"	"El Rosario"	"Tenerife"	"Canary Islands"	28.418535	-16.41009	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003038"	"N. Macías"	"1/15/2005"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003039"	"N. Macías"	"6/3/2004"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003042"	"A. L. Medina"	"9/16/1989"	"Vilaflor"	"Vilaflor"	"Tenerife"	"Canary Islands"	28.17658	-16.64348	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003045"	"N. Macías"	"4/13/2007"	"Pista de Ijuana"	"Santa Cruz de Tenerife"	"Tenerife"	"Canary Islands"	28.560191	-16.16919	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003075"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003076"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003077"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003078"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003079"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003080"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003081"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003082"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003083"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003084"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003085"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003086"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003087"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003088"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003089"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003090"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003091"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003092"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003093"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003094"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003095"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003096"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003097"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003098"	"N. Macías & S. Febles"	"4/18/2015"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH003258"	"H. López"	""	"Cumbre Bolico"	"Santiago del Teide"	"Tenerife"	"Canary Islands"	28.249217	-16.528748	"Dysdera"	"Western Canarian"	"verneaui"
