"Comp1"	"Comp2"	"Comp3"	"Comp4"	"Comp5"	"Comp6"	"Comp7"	"Comp8"	"Comp9"	"Comp10"	"Comp11"	"Comp12"	"Comp13"	"Comp14"	"Comp15"	"Comp16"	"Comp17"	"Comp18"	"Comp19"	"Comp20"	"Comp21"	"Comp22"	"Comp23"	"Comp24"	"Comp25"	"Comp26"	"Comp27"	"Comp28"	"Comp29"	"Comp30"	"Comp31"	"Comp32"	"Comp33"	"Comp34"	"Comp35"	"Comp36"	"Comp37"	"Comp38"	"Comp39"
"levipes_G"	-0.00132101047527124	-0.0305082440500258	0.0403600015382019	0.00268194574909065	0.00648558339505484	-0.00985288431849007	-0.0232396320903657	-0.0089409735578633	0.0129978109297353	-0.00411291052490517	-0.00537115775634409	-0.0111914367348492	0.000975570561954703	-0.000647198357200813	0.000632241616770028	0.000479338135778772	0.00471583805963524	-0.000621220408719407	-0.00289100200136027	-0.00146779268629823	-0.000118692980099597	-0.00226079033439819	-0.00085512081282687	-3.98745514256952e-05	0.00199406094874319	0.00124261109454424	-0.00301636500425971	-0.00143047914859702	0.00197776790028824	0.00155025009238948	0.000103170604545263	-0.000977634264256926	0.000594013113994215	-0.00107003627134299	0.000175688797914334	0.000144157251048774	4.29427940676385e-05	-0.000102073513464853	-2.35838993578972e-05
"liostethus"	0.0125942924504308	0.0249896626211869	-0.0156878436240838	0.00100715306678297	0.017650014663738	0.00267992834640834	-0.0097883949146122	0.00781131267180023	-0.0120830893812049	-0.0111040151560342	-0.00237973427328141	0.00753489569611069	0.0014554661025561	-0.00251918790899184	0.000160367640128575	-0.00460387453544049	0.00418482026575465	-0.00027693201415837	-0.00290518211194735	-0.00136818230192148	-0.00314463032671692	-0.00171122600113519	-0.00424750956299888	0.000408655754727004	0.0007874576070847	0.00129972914357519	0.000497408169443774	0.000781147012161291	-0.000518458674514812	-0.00135256946268479	0.000936551404472086	-0.00120744978212527	0.000528343994101789	0.00117283648600564	0.000507377203918719	0.000884082046423799	-0.000481869414815589	6.52707825404401e-05	0.00013639224436972
"longa"	-0.0562126742635015	0.0575089500349002	-0.0343805761421293	0.00661832449074859	-0.0251677447155889	-0.0123697724936823	-0.0141184244177966	-0.00752037264554613	0.0103741614302902	-0.00515005451095935	-0.000441312094516096	-0.00270503617226095	0.00225023834635799	-0.00497443324629963	0.00635775124072992	0.00448150061381221	-0.00115143406647909	-0.000127987748036935	0.00273663291625337	-0.000656821868678446	0.00100571351571093	-0.00191865081704671	-0.000649598992023265	0.000747273481266855	0.000782460279895624	0.000476865918533133	0.00159217452454017	0.000737226562983965	0.000901177657454678	-0.00129794025448828	-0.00103433980896953	0.00158735108723073	0.0014368401423579	-0.000753685833028052	0.000196356966229394	0.000338234452313042	-0.000452913602397175	-0.000405285795769457	-0.000117958182299396
"macra"	0.0152778727446701	-0.0119800950729772	-0.032787873584073	0.000932878688761437	0.0124427351226456	0.0157690912737485	-0.00124297102939384	0.0013969645500665	0.00948357792874581	0.0055405776341373	-0.0106545887940671	0.00567869291581029	-0.00529205357099697	-0.00196561828131302	0.0026298947133656	0.00166478460868407	-0.00106699558622415	0.00209026344649854	0.00167437336133632	0.00456187981327645	0.000794216255694838	-0.000176089966266601	0.0025348387968067	0.000940146029398614	0.000834041374820528	-0.000320434196335142	-0.00214341174681703	0.00139146226144114	0.000825470548096937	-0.00104062828956369	0.000763141798951044	-0.000571400734646026	-0.000999624493898688	8.82327116491533e-05	0.00115946449386145	0.000406214939586266	0.000627068723298695	-0.000468898985290912	-0.00043101369560789
"marmoratta"	0.112884317543622	-0.000107307304361448	-0.0267900263709799	0.00552004659872445	0.00732364152104588	-0.0460597207966574	0.0249072158770972	-0.00567416095053451	0.0121948541390142	0.0015108221899899	-0.00217730384513554	0.00346740316562657	-0.00332471675124291	0.0131695738529674	-0.00342651163133906	0.00371304087405428	0.00309172563454956	0.00104810953170959	0.00161783122516753	-0.000450634082715309	-0.000436017554911313	0.00103981463344454	-0.00146280345218913	0.0020750601498914	0.000670426122122384	-0.00146904540746369	0.000518545374755077	0.000240382180343171	0.000458673297429984	0.00138566087217333	-6.47389604550142e-06	0.000379713877379251	0.000364828155305531	0.000562890966445857	3.5792022192465e-05	0.000349595570132842	-0.000209745021981236	2.09937700000666e-05	-0.000175143170779384
"aniepa"	0.00325415565457833	-0.00631135895968439	-0.0267058531419599	0.00235348134285191	0.0287149102135216	0.0051280315018938	-0.00119705788470619	-0.00277444468290044	0.0151986179742693	-0.00243617959710056	-0.00887686218922591	0.0067461368872564	-0.00435497899369406	-0.00861878113808091	0.00197728139594938	0.00275987901117702	-0.00080174062156179	0.00229910955157515	0.000211038486200216	0.002537808510125	-0.000594720452887016	0.00209931762799339	-3.48790197304387e-05	-0.00109880843126159	0.00100383878201418	0.00236962322951787	-0.000515038679518964	0.000657436792388437	-0.000898978140276054	0.00172126880360085	-0.000487464538057121	0.000730460546192373	-0.000636790013683902	-6.80881651774946e-05	-0.000904137421816008	0.000118453607803983	-0.000491601737295305	0.000181228331987635	0.000758099716302084
"montanetensis"	-0.0523720671170297	-0.0523848348885096	-0.0278359298505212	0.00148114611866066	-0.00290731876279078	-0.00172849013102802	-0.00769788974678499	0.0107984550223694	-0.00644868995403874	0.0164345541772547	-0.00301540768364096	0.000654822452030768	-0.00519597523486466	0.000318381993534016	0.00333852370474452	-0.00766061757896488	-0.00152455738747078	0.00029257218975802	0.000182100737253835	-0.00360620414136116	-0.00208937012780979	0.004571075554708	0.00107323178787138	0.000263798082432311	-0.00057544170439298	-0.00116068545331233	0.000223378683000109	0.00154712054627853	0.00196502421926883	0.000487946593393746	-0.000118695992541878	-0.000269166289884319	0.00144444635872878	-6.22902494173485e-05	0.000348122477294953	-0.000542004152563071	-0.000404937102162332	-0.000144240488488656	0.000221488878662359
"nesiotes"	-0.0628638642045409	0.0348197078265244	0.015860291387244	0.0164208069456244	-0.00589992106756171	0.00993148618631864	-0.0114899013404422	-0.00239127817265656	-0.000651859725466877	0.0102329883839999	-0.000818841399476671	0.00082591983163363	0.00288140696729214	0.00874004872715456	0.00169128708098687	0.00110649114127908	-0.00421008770741147	-0.000165190945064668	-0.00237487921043993	0.00308580320298021	0.00424984056923967	0.00189425457259778	-0.00130199020290601	-0.000292138208522983	-0.000456553603388279	-0.000706476471116348	-0.000412725168588051	-0.000251740711501466	0.000522206901933347	0.00039002802849722	0.000472917571478135	-0.000245252093675058	0.00143475017563359	0.000729916114654581	-0.000351694183214401	0.000881900565785912	0.000826973901021922	0.000359789661908634	0.000416394014923671
"new_insulana"	0.0666084059728682	0.0347254404265018	0.0107351319658589	0.0200755113953785	0.00108737457631939	0.0177401304243456	0.00499535120503286	-0.000682482573289077	0.000462188366644917	0.00309988936881259	-0.00143418813726328	0.0036779701611038	0.00222413190521843	0.00218074275768193	-0.00563738237787472	0.00276173138178856	-0.00202063957323547	-0.00326953600573545	0.00355389469147624	-0.00236525606209745	-0.00139718523932303	-0.000902812076311454	0.00533389463475847	-0.000123331972196723	0.00238572271300053	0.000227917768013899	0.0013225733256541	-0.000148963463862589	0.00134586942014368	-0.000935604528548696	-0.000539736692053353	-0.00220409777079524	3.25302557407391e-05	-0.000406240290838219	-0.000549623162282401	0.000166383948782108	-0.000270898546261721	0.000210957790535915	0.000221003937630456
"orahan"	-0.0300823392808735	-0.0270514862944919	0.00780305074092096	-0.022247070232746	-0.0308701977489671	-0.00985445084361839	0.017814769237443	0.00991689634097901	-0.0127976297356856	-0.00492562040070275	-0.00530135845592315	-0.00591599808571032	-0.00675182677091993	-0.00677588284733395	-0.00213553244996899	0.00477590963064769	0.00331422345497113	-0.000259949430550604	-0.000236047777364253	0.00279675298261566	0.00211894588663382	-0.00275813240171599	0.00191016070236883	0.000611954970716553	-0.00188307164548388	-0.00109342461755693	0.00182323591913196	-0.000211757354093583	0.00163759483366517	0.000149372425699475	0.00209902330181284	-0.000131570532780771	-2.78843225539503e-05	0.000269173294838248	-0.000265772437551627	0.000184746070050367	-0.000254871115262286	-4.09096016461039e-05	0.000410674284145455
"paucispinosa"	0.0393347717390876	-0.0155084436401017	0.00471072054012933	-0.0350752512032685	0.0211637874132844	-0.00865638150291572	-0.0361990222358444	0.00503542131043664	-0.0156229936825798	-0.0065804169728082	-0.00466989025743169	0.0015750883281204	-0.0030813142111023	0.00669090725661741	0.00508097228043931	0.00931099923029183	-0.00527160187801164	-4.80105690114679e-05	-0.00181107537272341	-0.000383375140254666	-0.00323010187789062	-4.09844719665636e-05	0.00112729442780555	7.64575886077764e-05	-0.00172663034829783	-0.000985320971329275	-0.000285847576875934	-0.00167685970114157	0.000204311490527189	-0.000816442763449134	-0.000523084289797224	0.000335505665204296	-0.000310654148207097	0.000323557408200691	-0.00036650305610342	-0.000115707057467422	-0.000182041325441669	-3.81195681895148e-06	-0.00013351280479506
"ramblae"	-0.0754386947090439	-0.000526396431883802	0.0380972625901662	-0.0299501063323706	-0.0082550467568882	0.0198124454667701	0.0260440609361104	0.0172380576786984	0.00347059779562219	-0.00654540138152667	-0.0065172678410232	-0.000764143536980731	-0.00487661596106451	-0.00274834897013095	-0.00429731310394918	0.00531852819667555	-0.000755882349192425	-0.000442807113891581	0.000444121434367564	-0.000713105971152444	-0.000253978996796815	0.00114102768142421	-0.00216746683546028	-0.00215917921443117	0.00299390653123227	-0.00186252906133876	-0.000706084146464769	-2.34498378416481e-05	-0.00106030837757609	0.000413877811085903	-0.0018895932789527	-0.000281224911601105	0.00103684085337577	0.000707710600260545	0.000260353035489214	-0.000120839425919593	3.24658251367767e-05	-0.000120553109716657	-0.000258072007585048
"rugichelis"	-0.0152633674309136	-0.0154446477894933	0.0145010888061158	-0.0181352266894375	0.0209120065234348	0.00501100116793308	-0.00492012273114585	-0.0138150923810812	-0.0105420796379111	-0.00244191259026977	0.00097799292641563	0.0013651678217679	0.00571392181345738	0.00306017748113537	-0.00218704064458357	-0.004605974115006	0.00250653785379297	0.000330379716033712	0.00733401954017105	0.0042990495855819	0.00225465596466497	-0.00148297314327678	-0.00030263987558747	-0.000460405466220307	-0.00204418123713259	0.00257275314457419	-0.000205363229933475	-0.000428555468496921	0.00100199897409288	0.000305312250432461	-0.00124808508750872	-0.000234512426931793	0.000709158086490995	0.00114196321407401	-7.05351969725937e-05	-0.000563980279394218	-0.000244889943792305	-0.00024480463598386	-9.06304092146924e-05
"sanborondon"	0.0056834852954192	0.0308343203839953	0.0405054050223411	0.0361848851001768	0.0228790374763404	-0.0287976790675888	0.0243041187298509	-0.0121277506544589	-0.0146971759389864	-0.00626373315659495	-0.00495305040535704	-0.00250658528164148	-0.00377990177152148	-0.00366789069917875	0.00116365912538524	-0.00215907163678678	-0.00117796995791413	-0.00452085356459265	-0.00380593483672137	0.000517866240876452	0.000147901900177398	0.00211555836614752	0.00337265857742453	-0.00239384624826955	-3.22703735853471e-05	0.00123881929441626	-0.00125007623843834	5.46865125470555e-05	0.000116288176245509	-0.000987230727356319	0.00017637305866736	0.00120443988706072	0.000331355455535848	0.000467045434032983	0.000246384487552205	-0.000300869297599597	-3.60974727860487e-05	-0.000113019275432246	-0.000137594392525341
"silvatica_G"	-0.0457523086485388	-0.0136701698082954	0.000166027614720302	-0.0186402487851997	-0.00833155626642648	0.00185835928496733	0.00633301815256086	-0.00839935758027267	-0.010450401789708	-0.0125210196148754	0.00488748164080174	-0.00486374878657881	0.0117320955545975	0.00794843442368759	0.00170680503037437	0.000674238616513004	7.74231005460771e-05	0.00198578922438595	0.000553760123693915	-0.00145927111903329	0.000609257991966951	0.00222263450302417	0.00074183016727783	-0.00153422529092349	0.00274306500946822	-0.000212503131357742	0.000226684802180175	0.000821686450481509	0.000855895739705995	-7.26072024405045e-05	-7.69855099350362e-05	0.000776954169012409	-0.00183290818373588	-8.00745796037996e-05	0.00112921204472204	0.000140886794125231	-0.000101215858404533	0.000166959601500931	0.0005543775295859
"silvatica_H"	-0.0354489593426359	-0.0101229061532403	-0.0272121731849942	-0.00630048190118955	-0.0120003741802208	-0.000319190831466404	-0.0012329870086411	0.00136465635579013	0.00281835309406059	-0.00997336438131351	0.00459419128640352	-0.00467145270757964	0.00333976885952947	0.00377340439368863	-0.00551038807878113	0.00460873487009066	-0.00145952338316816	0.000400111093196972	0.000913398662008458	-0.00045417623116578	-0.00295857239253712	0.00180132793580698	0.00255344387913921	-0.000964291621486371	-0.00157326294895191	0.00390284677090998	0.000138598089717156	0.000841852696538295	-0.00255356743988685	0.000958160297604629	0.00180756934292968	-0.000447346408807032	0.00137614886225061	-0.000460920304997004	0.000333473984342306	-8.78687953633897e-05	0.000392135401599495	-8.54506360477601e-05	-0.00017257199677064
"silvatica_P"	-0.0510556386854375	-0.0305253606144827	-0.0161560710183978	0.00840626428262737	-0.010651308169021	-0.0149363273567571	0.0115840357620429	-0.0130074710720825	0.00191958683026796	-0.0043501541294361	0.0190711497851043	0.00802620221648638	0.0085428090728838	-0.00624549819488907	0.000704433401433046	0.00400533951140202	0.000639420157982128	0.00331741672771426	-0.00185006339699212	0.00061220783736419	-0.00127043556173606	0.0010359941288785	-0.000301404923620312	-0.00102305408538917	-0.00086023979614564	-0.00204980874429659	-0.00259036684193608	0.000992950925586059	0.000839420700312001	-0.000990569295551029	-0.000177365955044434	-0.00112708613933324	-1.19875540923984e-05	0.000209264454115966	-0.0010221828608361	-3.30491783904131e-05	-8.50053079004258e-06	-0.000121713021501414	-0.000188591209047926
